,seed_id
C03125_c,cpd12255
C03127_c,cpd12256
C03160_c,cpd02021
C03170_c,cpd02026
C03263_c,cpd02083
C03294_c,cpd12285
C03360_c,cpd02135
C03402_c,cpd12313
C03451_c,cpd02182
C03511_c,cpd12335
C03512_c,cpd12336
C03557_c,cpd02233
C03688_c,cpd12370
C03723_c,cpd12378
C03794_c,cpd02375
C03906_c,cpd02428
C03912_c,cpd02431
C04006_c,cpd02484
C04216_c,cpd02590
C04230_c,cpd02601
C04232_c,cpd02602
C04281_c,cpd02625
C04377_c,cpd02679
C04494_c,cpd02740
C04501_c,cpd02611
C04549_c,cpd12572
C04574_c,cpd02229
C04637_c,cpd12582
C04646_c,cpd02832
C04677_c,cpd02851
C04807_c,cpd02920
C04823_c,cpd02921
C05172_c,cpd03078
C05227_c,cpd12681
C05335_c,cpd03163
C05336_c,cpd12704
C05382_c,cpd00238
C05512_c,cpd03279
C05527_c,cpd03284
C05528_c,cpd03285
C05673_c,cpd03379
C05674_c,cpd03380
C05684_c,cpd03387
C05686_c,cpd03388
C05691_c,cpd03392
C05692_c,cpd03393
C05697_c,cpd03396
C05698_c,cpd03397
C05703_c,cpd03401
C05726_c,cpd12344
C05729_c,cpd16496
C05841_c,cpd03471
C05946_c,cpd00830
C05947_c,cpd01974
C05980_c,cpd12801
C05983_c,cpd03560
C05993_c,cpd03566
C06112_c,cpd12828
C06113_c,cpd12829
C06459_c,cpd03876
C06481_c,cpd15565
C06482_c,cpd15563
C07648_c,cpd04809
C07649_c,cpd04810
C09332_c,cpd06227
C11355_c,cpd08210
C11526_c,cpd08361
C12205_c,cpd08985
C12214_c,cpd08993
C12215_c,cpd08994
C15804_c,cpd14540
C15805_c,cpd14541
C15806_c,cpd14542
C15807_c,cpd14543
C16565_c,cpd16379
C16614_c,cpd16418
C16615_c,cpd16419
C16618_c,cpd16422
C16619_c,cpd16423
C16633_c,cpd16437
C16636_c,cpd16440
C16638_c,cpd16442
C16663_c,cpd16464
C16664_c,cpd16465
C16681_c,cpd16479
C16682_c,cpd16480
C16826_c,cpd17150
C17432_c,cpd02746
C18058_c,NA
C18902_c,NA
C19078_c,NA
C19080_c,NA
C19085_c,NA
C04500_c,cpd12559
C00109_c,cpd00094
C00153_c,cpd00133
C00186_c,cpd00159
C00330_c,cpd00277
C00387_c,cpd00311
C00475_c,cpd00367
C00526_c,cpd00412
C00672_c,cpd00509
C00881_c,cpd00654
C01097_c,cpd00805
C01762_c,cpd01217
C03150_c,cpd02016
C03785_c,cpd02371
C05823_c,cpd03455
C05984_c,cpd03561
C11537_c,cpd08367
C12739_c,cpd16329
C15586_c,cpd01197
C15587_c,NA
C16635_c,cpd16439
C20463_c,NA
C00001_a,cpd00001
C00002_a,cpd00002
C00003_a,cpd00003
C00004_a,cpd00004
C00005_a,cpd00005
C00006_a,cpd00006
C00008_a,cpd00008
C00009_a,cpd00009
C00010_a,cpd00010
C00011_a,cpd00011
C00013_a,cpd00012
C00014_a,cpd00013
C00019_a,cpd00017
C00020_a,cpd00018
C00022_a,cpd00020
C00024_a,cpd00022
C00025_a,cpd00023
C00026_a,cpd00024
C00027_a,cpd00025
C00035_a,cpd00031
C00037_a,cpd00033
C00040_a,cpd11611
C00041_a,cpd00035
C00044_a,cpd00038
C00047_a,cpd00039
C00049_a,cpd00041
C00051_a,cpd00042
C00058_a,cpd00047
C00062_a,cpd00051
